"Nome","gênero","Ano","Posição"
"István T. Hernádvölgyi","M",2000,0
"Peter Stone","M",2000,0
"Simon Tong","M",2000,0
"Kevin Knight","M",2000,0
"Pedro M. Domingos","M",2000,0
"Lin Padgham","F",2000,0
"Ian Pratt-Hartmann","M",2000,0
"Roberto J. Bayardo Jr.","M",2000,0
"Kagan Tumer","M",2000,0
"Uwe Egly","M",2000,0
"Alberto Finzi","M",2000,0
"Paolo Liberatore","M",2000,0
"Kevin Knight","M",2000,0
"Marco Ramoni","M",2000,0
"István T. Hernádvölgyi","M",2000,0
"Elly Winner","F",2000,0
"Shawn Arseneau","M",2000,0
"Charles Lee Isbell Jr.","M",2000,0
"Eric Wilson","M",2000,0
"Lluís A. Belanche Muñoz","M",2000,0
"Gregory Aist","M",2000,0
"XuanLong Nguyen","M",2000,0
"Sailesh Ramakrishnan","M",2000,0
"David C. Parkes","M",2000,0
"Rainer Feldmann","M",2000,0
"Stergios I. Roumeliotis","M",2000,0
"Richard E. Korf","M",2000,0
"Tim Oates","M",2000,0
"Ying Wu","F",2000,0
"Moshe Tennenholtz","M",2000,0
"Kevin Leyton-Brown","M",2000,0
"Gita Sukthankar","F",2000,0
"Kazuhiro Nakadai","M",2000,0
"Kiri Wagstaff","F",2000,0
"Vinay K. Chaudhri","M",2000,0
"Jesus A. Gonzalez","M",2000,0
"Gabriel J. Ferrer","M",2000,0
"Jussi Rintanen","M",2000,0
"Runqi Zhang","F",2000,0
"Philipp Koehn","M",2000,0
"Luke Hunsberger","M",2000,0
"William E. Walsh","M",2000,0
"Tapio Elomaa","M",2000,0
"Tuomas Sandholm","M",2000,0
"Peter Gorniak","M",2000,0
"Makoto Yokoo","M",2000,0
"Karen T. Kohl","F",2000,0
"Daniel P. Stormont","M",2000,0
"Dung N. Lam","M",2000,0
"Eyal Amir","M",2000,0
"Bing Liu 0001","F",2000,0
"David C. Parkes","M",2000,0
"Justine Cassell","F",2000,0
"Craig A. Tovey","M",2000,0
"Un Yong Nahm","M",2000,0
"Michail G. Lagoudakis","M",2000,0
"Jonathan Schaeffer","M",2000,0
"Silvia Coradeschi","F",2000,0
"Sheila A. McIlraith","F",2000,0
"Joseph Beck","M",2000,0
"Hoong Chuin Lau","F",2000,0
"Patrick Riley","M",2000,0
"Maxim Peysakhov","M",2000,0
"Michael Bowman","M",2000,0
"Gregory Aist","M",2000,0
"Nanda Kambhatla","F",2000,0
"Alvaro del Val","M",2000,0
"Eitan Mendelowitz","M",2000,0
"James P. Delgrande","M",2000,0
"Ronald W. Ferguson","M",2000,0
"Tom Duckett","M",2000,0
"Kiri Wagstaff","F",2000,0
"Jody J. Daniels","F",2000,0
"Robert Sim","M",2000,0
"Mutsumi Nakamura","F",2000,0
"Maria Lapata","F",2000,0
"Christopher A. Welty","M",2000,0
"Peter B. Vanderheyden","M",2000,0
"Yaser Al-Onaizan","M",2000,0
"Bruce M. McLaren","M",2000,0
"Rada Mihalcea","F",2000,0
"Simon Colton","M",2000,0
"Iwan Ulrich","M",2000,0
"Ronald W. Ferguson","M",2000,0
"Tetsuo Ono","M",2000,0
"Monica N. Nicolescu","F",2000,0
"Wes Cowley","M",2000,0
"Dimitris Achlioptas","M",2000,0
"David Anderson","M",2000,0
"Kate Larson","F",2000,0
"Narendra Jussien","M",2000,0
"Haythem O. Ismail","M",2000,0
"Laura Barbulescu","F",2000,0
"Doina Caragea","F",2000,0
"Craig Boutilier","M",2000,0
"Christopher H. Brooks","M",2000,0
"Jun Hong","M",2000,0
"Kenneth A. Kaufman","M",2000,0
"Nathan R. Sturtevant","M",2000,0
"Robert Menke","M",2000,0
"Austin Tate","M",2000,0
"Roxana Girju","F",2000,0
"Peter Clark","M",2000,0
"Thomas Mostek","M",2000,0
"Luis E. Ortiz","M",2000,0
"Craig Boutilier","M",2000,0
"Deborah L. McGuinness","F",2000,0
"Dessa David","F",2000,0
"Weixiong Zhang","M",2000,0
"Michael H. Coen","M",2000,0
"Timothy W. Rauenbusch","M",2000,0
"Uri Lerner","M",2000,0
