Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,Mulheres,Homens,Responsavel
251370305000001,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,155,512,3.3,1.5,1027.23,2688168.15,1105.7,2807580.15,589.24,1195541.9,913.83,1558786.88,NA,27,40,40,13,3,2,4,0,0,0,0,0,0,27,23,7,1,0,0,4,11,6,0,0,1,4,2,4,1,0,0,0,2,4,1,0,0,0,40,187,Homens
251370305000002,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,172,659,3.83,3.37,354.49,242161.87,648.64,252416.88,205.78,118767.59,510.85,139083.66,NA,25,23,24,15,6,8,5,1,0,0,0,0,0,24,10,7,1,0,0,10,21,14,7,5,7,2,4,6,1,0,0,0,6,3,4,0,0,0,90,149,Homens
251370305000003,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,251,865,3.45,1.8,701.65,219907.92,746.25,200523.13,398.31,197534.01,641.57,162026.35,NA,40,43,52,25,10,2,4,1,1,0,0,0,0,39,16,15,1,1,0,12,25,12,9,6,1,10,7,9,2,0,0,0,5,5,2,0,0,0,105,250,Homens
251370305000004,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,197,696,3.53,2.72,749.23,701725.57,815.46,709792.46,409.99,360197.57,689.73,413164.43,NA,22,31,31,14,5,7,9,2,0,0,0,0,0,20,13,6,3,0,0,19,20,18,7,5,4,5,10,5,3,0,0,0,9,5,0,0,0,0,110,163,Homens
251370305000005,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,244,855,3.5,2.4,682.49,512420.03,808.39,505135.45,380.7,297130.43,670.15,329149.46,NA,30,50,55,13,8,7,7,1,0,1,0,0,0,29,21,3,0,1,0,11,29,13,7,3,3,8,11,13,5,0,0,0,0,7,0,1,0,0,111,226,Homens
251370305000006,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,840,3.8,2.79,1079.96,2455063.06,1217.71,2601213.79,578.29,1132382.81,950.94,1508613.27,NA,30,34,37,26,10,11,7,7,0,1,0,0,0,23,18,11,1,3,0,10,20,18,5,5,5,3,9,7,2,0,0,0,1,5,2,0,1,0,93,219,Homens
251370305000007,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,249,951,3.82,3.62,511.62,1618078.08,561.2,1747640.22,293.18,645536.32,456.61,931370.61,NA,29,38,37,34,7,15,11,1,0,0,0,0,0,28,19,13,6,0,0,14,12,21,13,1,7,10,11,5,5,0,0,0,3,2,1,0,0,0,105,238,Homens
251370305000008,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,196,726,3.7,3.54,397.69,97103.36,526.68,60416.89,224.66,85417.79,502.96,51130.44,NA,15,33,30,11,6,7,12,1,1,0,0,0,0,14,14,2,1,0,0,13,22,18,12,7,5,5,10,9,4,0,0,0,3,1,1,0,1,0,111,147,Homens
251370305000009,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,349,1281,3.67,3.72,291.11,139625.22,457.64,143303.6,251.1,98670.81,461.77,84147.43,NA,4,14,18,3,2,4,17,1,0,0,0,0,0,3,6,4,0,0,0,55,68,52,46,17,26,23,48,29,11,3,0,0,7,1,2,0,0,0,388,76,Mulheres
251370305000010,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,242,921,3.81,3.39,587.07,283455.48,776.35,227593.65,328,208902.61,674.62,195793.5,NA,23,31,46,17,6,5,13,3,1,0,0,0,0,20,10,11,2,0,0,21,18,21,17,8,13,3,15,5,4,1,0,0,6,4,0,0,0,0,136,188,Homens
